date,value
1949-1-1,112
1949-2-1,118
1949-3-1,132
1949-4-1,129
1949-5-1,121
1949-6-1,135
1949-7-1,148
1949-8-1,148
1949-9-1,136
1949-10-1,119
1949-11-1,104
1949-12-1,118
1950-1-1,115
1950-2-1,126
1950-3-1,141
1950-4-1,135
1950-5-1,125
1950-6-1,149
1950-7-1,170
1950-8-1,170
1950-9-1,158
1950-10-1,133
1950-11-1,114
1950-12-1,140
1951-1-1,145
1951-2-1,150
1951-3-1,178
1951-4-1,163
1951-5-1,172
1951-6-1,178
1951-7-1,199
1951-8-1,199
1951-9-1,184
1951-10-1,162
1951-11-1,146
1951-12-1,166
1952-1-1,171
1952-2-1,180
1952-3-1,193
1952-4-1,181
1952-5-1,183
1952-6-1,218
1952-7-1,230
1952-8-1,242
1952-9-1,209
1952-10-1,191
1952-11-1,172
1952-12-1,194
1953-1-1,196
1953-2-1,196
1953-3-1,236
1953-4-1,235
1953-5-1,229
1953-6-1,243
1953-7-1,264
1953-8-1,272
1953-9-1,237
1953-10-1,211
1953-11-1,180
1953-12-1,201
1954-1-1,204
1954-2-1,188
1954-3-1,235
1954-4-1,227
1954-5-1,234
1954-6-1,264
1954-7-1,302
1954-8-1,293
1954-9-1,259
1954-10-1,229
1954-11-1,203
1954-12-1,229
1955-1-1,242
1955-2-1,233
1955-3-1,267
1955-4-1,269
1955-5-1,270
1955-6-1,315
1955-7-1,364
1955-8-1,347
1955-9-1,312
1955-10-1,274
1955-11-1,237
1955-12-1,278
1956-1-1,284
1956-2-1,277
1956-3-1,317
1956-4-1,313
1956-5-1,318
1956-6-1,374
1956-7-1,413
1956-8-1,405
1956-9-1,355
1956-10-1,306
1956-11-1,271
1956-12-1,306
1957-1-1,315
1957-2-1,301
1957-3-1,356
1957-4-1,348
1957-5-1,355
1957-6-1,422
1957-7-1,465
1957-8-1,467
1957-9-1,404
1957-10-1,347
1957-11-1,305
1957-12-1,336
1958-1-1,340
1958-2-1,318
1958-3-1,362
1958-4-1,348
1958-5-1,363
1958-6-1,435
1958-7-1,491
1958-8-1,505
1958-9-1,404
1958-10-1,359
1958-11-1,310
1958-12-1,337
1959-1-1,360
1959-2-1,342
1959-3-1,406
1959-4-1,396
1959-5-1,420
1959-6-1,472
1959-7-1,548
1959-8-1,559
1959-9-1,463
1959-10-1,407
1959-11-1,362
1959-12-1,405
1960-1-1,417
1960-2-1,391
1960-3-1,419
1960-4-1,461
1960-5-1,472
1960-6-1,535
1960-7-1,622
1960-8-1,606
1960-9-1,508
1960-10-1,461
1960-11-1,390
1960-12-1,432
