year,month,Number,Time
1949,1,112,1949-1
1949,2,118,1949-2
1949,3,132,1949-3
1949,4,129,1949-4
1949,5,121,1949-5
1949,6,135,1949-6
1949,7,148,1949-7
1949,8,148,1949-8
1949,9,136,1949-9
1949,10,119,1949-10
1949,11,104,1949-11
1949,12,118,1949-12
1950,1,115,1950-1
1950,2,126,1950-2
1950,3,141,1950-3
1950,4,135,1950-4
1950,5,125,1950-5
1950,6,149,1950-6
1950,7,170,1950-7
1950,8,170,1950-8
1950,9,158,1950-9
1950,10,133,1950-10
1950,11,114,1950-11
1950,12,140,1950-12
1951,1,145,1951-1
1951,2,150,1951-2
1951,3,178,1951-3
1951,4,163,1951-4
1951,5,172,1951-5
1951,6,178,1951-6
1951,7,199,1951-7
1951,8,199,1951-8
1951,9,184,1951-9
1951,10,162,1951-10
1951,11,146,1951-11
1951,12,166,1951-12
1952,1,171,1952-1
1952,2,180,1952-2
1952,3,193,1952-3
1952,4,181,1952-4
1952,5,183,1952-5
1952,6,218,1952-6
1952,7,230,1952-7
1952,8,242,1952-8
1952,9,209,1952-9
1952,10,191,1952-10
1952,11,172,1952-11
1952,12,194,1952-12
1953,1,196,1953-1
1953,2,196,1953-2
1953,3,236,1953-3
1953,4,235,1953-4
1953,5,229,1953-5
1953,6,243,1953-6
1953,7,264,1953-7
1953,8,272,1953-8
1953,9,237,1953-9
1953,10,211,1953-10
1953,11,180,1953-11
1953,12,201,1953-12
1954,1,204,1954-1
1954,2,188,1954-2
1954,3,235,1954-3
1954,4,227,1954-4
1954,5,234,1954-5
1954,6,264,1954-6
1954,7,302,1954-7
1954,8,293,1954-8
1954,9,259,1954-9
1954,10,229,1954-10
1954,11,203,1954-11
1954,12,229,1954-12
1955,1,242,1955-1
1955,2,233,1955-2
1955,3,267,1955-3
1955,4,269,1955-4
1955,5,270,1955-5
1955,6,315,1955-6
1955,7,364,1955-7
1955,8,347,1955-8
1955,9,312,1955-9
1955,10,274,1955-10
1955,11,237,1955-11
1955,12,278,1955-12
1956,1,284,1956-1
1956,2,277,1956-2
1956,3,317,1956-3
1956,4,313,1956-4
1956,5,318,1956-5
1956,6,374,1956-6
1956,7,413,1956-7
1956,8,405,1956-8
1956,9,355,1956-9
1956,10,306,1956-10
1956,11,271,1956-11
1956,12,306,1956-12
1957,1,315,1957-1
1957,2,301,1957-2
1957,3,356,1957-3
1957,4,348,1957-4
1957,5,355,1957-5
1957,6,422,1957-6
1957,7,465,1957-7
1957,8,467,1957-8
1957,9,404,1957-9
1957,10,347,1957-10
1957,11,305,1957-11
1957,12,336,1957-12
1958,1,340,1958-1
1958,2,318,1958-2
1958,3,362,1958-3
1958,4,348,1958-4
1958,5,363,1958-5
1958,6,435,1958-6
1958,7,491,1958-7
1958,8,505,1958-8
1958,9,404,1958-9
1958,10,359,1958-10
1958,11,310,1958-11
1958,12,337,1958-12
1959,1,360,1959-1
1959,2,342,1959-2
1959,3,406,1959-3
1959,4,396,1959-4
1959,5,420,1959-5
1959,6,472,1959-6
1959,7,548,1959-7
1959,8,559,1959-8
1959,9,463,1959-9
1959,10,407,1959-10
1959,11,362,1959-11
1959,12,405,1959-12
1960,1,417,1960-1
1960,2,391,1960-2
1960,3,419,1960-3
1960,4,461,1960-4
1960,5,472,1960-5
1960,6,535,1960-6
1960,7,622,1960-7
1960,8,606,1960-8
1960,9,508,1960-9
1960,10,461,1960-10
1960,11,390,1960-11
1960,12,432,1960-12
